state,year,cocs,total,sheltered,unsheltered,individual,sh_ind,uns_ind,family,sh_fam,uns_fam,chronic,sh_chronic,uns_chronic,chronic_ind,sh_chronic_ind,uns_chronic_ind,chronic_fam,sh_chronic_fam,uns_chronic_fam,veteran,sh_veteran,uns_veteran,youth,sh_youth,uns_youth,child,sh_child,uns_child,yadult,sh_yadult,uns_yadult,yparent,sh_yparent,uns_yparent,yparent_u18,sh_yparent_u18,uns_yparent_u18,yparent_18to24,sh_yparent_18to24,uns_yparent_18to24,ypchild,sh_ypchild,uns_ypchild,state_name
AK,2017,2,1845.0,1551.0,294.0,1354.0,1060.0,294.0,491.0,491.0,0.0,257.0,158.0,99.0,216.0,117.0,99.0,41.0,41.0,0.0,124.0,95.0,29.0,162.0,142.0,20.0,15.0,15.0,0.0,147.0,127.0,20.0,22.0,22.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,39.0,39.0,0.0,Alaska 
AL,2017,8,3793.0,2656.0,1137.0,2985.0,1950.0,1035.0,808.0,706.0,102.0,363.0,171.0,192.0,344.0,152.0,192.0,19.0,19.0,0.0,269.0,202.0,67.0,294.0,182.0,112.0,36.0,34.0,2.0,258.0,148.0,110.0,29.0,26.0,3.0,6.0,6.0,0.0,23.0,20.0,3.0,39.0,35.0,4.0,Alabama
AR,2017,6,2467.0,1273.0,1194.0,2068.0,937.0,1131.0,399.0,336.0,63.0,473.0,147.0,326.0,450.0,138.0,312.0,23.0,9.0,14.0,239.0,130.0,109.0,208.0,87.0,121.0,17.0,15.0,2.0,191.0,72.0,119.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,13.0,13.0,0.0,Arkansas 
AZ,2017,3,8947.0,5781.0,3166.0,6488.0,3423.0,3065.0,2459.0,2358.0,101.0,1552.0,546.0,1006.0,1463.0,492.0,971.0,89.0,54.0,35.0,970.0,641.0,329.0,578.0,345.0,233.0,55.0,45.0,10.0,523.0,300.0,223.0,81.0,81.0,0.0,0.0,0.0,0.0,81.0,81.0,0.0,112.0,112.0,0.0,Arizona 
CA,2017,43,134278.0,42636.0,91642.0,112756.0,25022.0,87734.0,21522.0,17614.0,3908.0,37360.0,5235.0,32125.0,35798.0,4430.0,31368.0,1562.0,805.0,757.0,11472.0,3815.0,7657.0,15458.0,2709.0,12749.0,1649.0,198.0,1451.0,13809.0,2511.0,11298.0,890.0,656.0,234.0,16.0,11.0,5.0,874.0,645.0,229.0,1058.0,782.0,276.0,California 
CO,2017,3,10940.0,7081.0,3859.0,7571.0,4719.0,2852.0,3369.0,2362.0,1007.0,2264.0,977.0,1287.0,2126.0,914.0,1212.0,138.0,63.0,75.0,1078.0,743.0,335.0,763.0,428.0,335.0,45.0,23.0,22.0,718.0,405.0,313.0,110.0,74.0,36.0,0.0,0.0,0.0,110.0,74.0,36.0,138.0,99.0,39.0,Colorado 
CT,2017,2,3388.0,2972.0,416.0,2208.0,1796.0,412.0,1180.0,1176.0,4.0,420.0,273.0,147.0,387.0,240.0,147.0,33.0,33.0,0.0,191.0,177.0,14.0,170.0,106.0,64.0,13.0,11.0,2.0,157.0,95.0,62.0,64.0,64.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,89.0,89.0,0.0,Connecticut 
DC,2017,1,7473.0,6576.0,897.0,3583.0,2686.0,897.0,3890.0,3890.0,0.0,1881.0,1343.0,538.0,1470.0,932.0,538.0,411.0,411.0,0.0,285.0,250.0,35.0,228.0,194.0,34.0,5.0,5.0,0.0,223.0,189.0,34.0,397.0,397.0,0.0,0.0,0.0,0.0,397.0,397.0,0.0,482.0,482.0,0.0,Washington DC
DE,2017,1,994.0,936.0,58.0,615.0,563.0,52.0,379.0,373.0,6.0,127.0,102.0,25.0,123.0,98.0,25.0,4.0,4.0,0.0,91.0,85.0,6.0,45.0,43.0,2.0,2.0,2.0,0.0,43.0,41.0,2.0,20.0,20.0,0.0,2.0,2.0,0.0,18.0,18.0,0.0,25.0,25.0,0.0,Delaware 
FL,2017,27,32190.0,17111.0,15079.0,22768.0,10931.0,11837.0,9422.0,6180.0,3242.0,5615.0,1241.0,4374.0,4951.0,1127.0,3824.0,664.0,114.0,550.0,2817.0,1821.0,996.0,2019.0,1075.0,944.0,421.0,282.0,139.0,1598.0,793.0,805.0,328.0,275.0,53.0,16.0,13.0,3.0,312.0,262.0,50.0,483.0,410.0,73.0,Florida 
GA,2017,9,10174.0,6651.0,3523.0,7422.0,4102.0,3320.0,2752.0,2549.0,203.0,1028.0,462.0,566.0,963.0,405.0,558.0,65.0,57.0,8.0,712.0,466.0,246.0,526.0,328.0,198.0,28.0,24.0,4.0,498.0,304.0,194.0,75.0,62.0,13.0,0.0,0.0,0.0,75.0,62.0,13.0,139.0,121.0,18.0,Georgia 
HI,2017,2,7220.0,3420.0,3800.0,4535.0,1258.0,3277.0,2685.0,2162.0,523.0,1800.0,207.0,1593.0,1588.0,164.0,1424.0,212.0,43.0,169.0,615.0,237.0,378.0,319.0,56.0,263.0,26.0,2.0,24.0,293.0,54.0,239.0,71.0,60.0,11.0,0.0,0.0,0.0,71.0,60.0,11.0,68.0,56.0,12.0,Hawaii 
IA,2017,3,2756.0,2652.0,104.0,1500.0,1396.0,104.0,1256.0,1256.0,0.0,199.0,143.0,56.0,170.0,114.0,56.0,29.0,29.0,0.0,171.0,153.0,18.0,140.0,136.0,4.0,12.0,12.0,0.0,128.0,124.0,4.0,73.0,73.0,0.0,0.0,0.0,0.0,73.0,73.0,0.0,107.0,107.0,0.0,Iowa 
ID,2017,2,2037.0,1398.0,639.0,1309.0,857.0,452.0,728.0,541.0,187.0,436.0,302.0,134.0,391.0,257.0,134.0,45.0,45.0,0.0,228.0,159.0,69.0,113.0,89.0,24.0,7.0,7.0,0.0,106.0,82.0,24.0,17.0,15.0,2.0,0.0,0.0,0.0,17.0,15.0,2.0,24.0,19.0,5.0,Idaho 
IL,2017,20,10798.0,8541.0,2257.0,6894.0,4759.0,2135.0,3904.0,3782.0,122.0,1475.0,717.0,758.0,1355.0,644.0,711.0,120.0,73.0,47.0,864.0,575.0,289.0,730.0,592.0,138.0,49.0,46.0,3.0,681.0,546.0,135.0,290.0,276.0,14.0,1.0,1.0,0.0,289.0,275.0,14.0,406.0,389.0,17.0,Illinois 
IN,2017,2,5438.0,4869.0,569.0,3623.0,3082.0,541.0,1815.0,1787.0,28.0,537.0,483.0,54.0,486.0,432.0,54.0,51.0,51.0,0.0,615.0,569.0,46.0,294.0,252.0,42.0,30.0,29.0,1.0,264.0,223.0,41.0,70.0,69.0,1.0,0.0,0.0,0.0,70.0,69.0,1.0,93.0,92.0,1.0,Indiana 
